grade,n,CPLIS_mean,CPLIS_sd,PLIS_total_mean,PLIS_total_sd
2,178,0.2216224309398688,0.1123538988640257,1.0146218623044696,1.3029153517185053
3,249,0.2197973739517493,0.1063590673388952,1.257999385546267,1.3835731353338725
4,240,0.2346618746622864,0.0878742952058473,2.255259101469957,1.455754093522284
