covariate,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
CPLIS,1.0976844807963233,0.9003724970691543,1.3382363669517428,0.3565801022408513
PLIS_total,1.1082117562455578,0.918725762967547,1.3367789891010664,0.2828457789239169
age,0.9347179198806936,0.7801001368636621,1.1199813311900328,0.4643169390499826
idh_mutant,0.5154762128310755,0.326708678339474,0.8133108901336571,0.0043980870949953
mgmt_methylated,0.8422749964183649,0.565904487334712,1.253616441411881,0.397571018769512
