scope,covariate,n,events,HR_per_SD,CI95_low,CI95_high,p,model_c_index
all_cgga,age,417,278,1.0317904554628141,0.9215414170564965,1.1552291891389783,0.5872598280161594,0.7515869600301254
all_cgga,sex_male,417,278,1.006547589715282,0.891981236570155,1.1358288816223991,0.9156953980822579,0.7515869600301254
all_cgga,grade,417,278,1.4660687491732405,1.2261064126730647,1.7529943201394098,2.7255065670662694e-05,0.7515869600301254
all_cgga,idh_mutant,417,278,1.276796776975253,0.9888962292281492,1.6485147394755475,0.06088209600171226,0.7515869600301254
all_cgga,codel_1p19q,417,278,0.8097437174445158,0.677002584278055,0.9685116470272799,0.020874304662684813,0.7515869600301254
all_cgga,mgmt_methylated,417,278,0.9602896682780724,0.8527245550532886,1.0814233524024446,0.5037980153377359,0.7515869600301254
all_cgga,transition_sheaf_risk_index,417,278,1.9273183538976928,1.4060518278459462,2.641834364641854,4.539910310497682e-05,0.7515869600301254
grade3_only,age,161,106,0.9691478168838361,0.799993682775904,1.1740686347817195,0.7488004532824519,0.7449546380299944
grade3_only,sex_male,161,106,1.3922325701217286,1.1203327004424812,1.7301213546138638,0.0028361518846939837,0.7449546380299944
grade3_only,idh_mutant,161,106,1.2687580941375964,0.921209194119952,1.7474283927197305,0.14497835288489144,0.7449546380299944
grade3_only,codel_1p19q,161,106,0.8129773643492083,0.6165129181765263,1.0720492230706844,0.14236174819259037,0.7449546380299944
grade3_only,mgmt_methylated,161,106,1.1647688349553371,0.9402148954336971,1.4429535688832165,0.16276538232769822,0.7449546380299944
grade3_only,transition_sheaf_risk_index,161,106,2.5189500666485283,1.7605484908533056,3.604052641113717,4.3073789330232473e-07,0.7449546380299944
grade2_3_only,age,258,138,1.0290351571883587,0.8697917750509534,1.2174331663088418,0.738625179649187,0.7479244023530394
grade2_3_only,sex_male,258,138,1.3080400138201276,1.0873565179031592,1.5735121366209897,0.004394693160690694,0.7479244023530394
grade2_3_only,grade,258,138,1.4383130572755407,1.1620834575711474,1.780202994243773,0.000835996758681303,0.7479244023530394
grade2_3_only,idh_mutant,258,138,1.4398773447761701,1.0778576318443758,1.92348850789509,0.013607512949311439,0.7479244023530394
grade2_3_only,codel_1p19q,258,138,0.8861243689875066,0.7011131897350276,1.1199566757690929,0.31161607124986235,0.7479244023530394
grade2_3_only,mgmt_methylated,258,138,1.0393601066992437,0.8721968494112166,1.2385614923134705,0.6660851870853883,0.7479244023530394
grade2_3_only,transition_sheaf_risk_index,258,138,2.541752856019704,1.850221152127021,3.4917488504859526,8.519908422766222e-09,0.7479244023530394
grade4_only,age,159,140,1.0523152818983121,0.8932459383526183,1.2397117131693904,0.5419616307047186,0.5825423866309727
grade4_only,sex_male,159,140,0.8736014907625281,0.7357161646149895,1.0373287979364896,0.12311310842811336,0.5825423866309727
grade4_only,idh_mutant,159,140,0.9336628428407748,0.6997457156288206,1.2457758363238394,0.6408667456312259,0.5825423866309727
grade4_only,codel_1p19q,159,140,0.8285179164167217,0.6518405618395652,1.0530825757241797,0.12421446612071607,0.5825423866309727
grade4_only,mgmt_methylated,159,140,0.9284095463148854,0.7828110194005891,1.1010885952379872,0.3933758561431049,0.5825423866309727
grade4_only,transition_sheaf_risk_index,159,140,1.1017764585042626,0.8082325799505788,1.5019332239593983,0.5397794715907998,0.5825423866309727
