scope,n,events,median_risk_threshold,c_index,logrank_chi2,logrank_p,O_high,E_high
all_cgga,417,278,-0.0632057071871836,0.7404916886330626,130.6072589700775,3.017773523679864e-30,180.0,92.4246124308676
grade3_only,161,106,-0.683351569308973,0.7296796889464914,35.499373537551094,2.551326112744672e-09,67.0,38.123312826907224
grade2_3_only,258,138,-0.7833415793984564,0.7346155450790605,63.6149731065485,1.512749809027113e-15,96.0,51.36660090801769
grade4_only,159,140,1.0875375918436958,0.5593412833617263,1.7498355636834757,0.18589740563534343,73.0,65.22671072980754
